Original Atom Name -> New Atom Name
CORE
O001 O001
C003 C002
C004 C003
H022 H004
C005 C005
C006 C006
S007 S007
O020 O008
H037 H009
O021 O010
C008 C011
H023 H012
C009 C013
H024 H014
C010 C015
O011 O016
C012 C017
H025 H018
H026 H019
H027 H020
C013 C021
O014 O022
C015 C023
H028 H024
H029 H025
H030 H026

SITE 1 site1_sub1 (from mol_1)
C002 C027
C016 C028
H031 H029
H032 H030
C017 C031
H033 H032
C019 C033
C018 C034
H034 H035
H035 H036
H036 H037

SITE 1 site1_sub2 (from mol_0)
C002 C038
C016 C039
H032 H040
H033 H041
C017 C042
H034 H043
C020 C044
C018 C045
H035 H046
H036 H047
C019 C048
H037 H049
H038 H050
H039 H051

SITE 1 site1_sub3 (from mol_2)
C002 C052
C016 C053
H032 H054
H033 H055
C017 C056
H034 H057
C020 C058
C018 C059
H035 H060
H036 H061
O019 O062
H037 H063

SITE 1 site1_sub4 (from mol_3)
C002 C064
C016 C065
H032 H066
C019 C067
H038 H068
H039 H069
C020 C070
C017 C071
H033 H072
H034 H073
C018 C074
H035 H075
H036 H076
H037 H077

SITE 1 site1_sub5 (from mol_4)
C002 C078
C016 C079
H031 H080
C018 C081
H035 H082
H036 H083
C019 C084
C017 C085
H032 H086
H033 H087
H034 H088

SITE 1 site1_sub6 (from mol_5)
C002 C089
C016 C090
H032 H091
C019 C092
H036 H093
H037 H094
C020 C095
C017 C096
H033 H097
H034 H098
O018 O099
H035 H100


